Job_title,Job_role,Company,Job_location,Job_summary,Post_date,Today,Job_salary,Job_url
Data Engineer,Data Engineer,"Stralynn Consulting Services, Inc.","Hyderabad, Telangana","Implement methods and models of data cleansing, data view and quality assurance.
Experience working with data products and platforms.",PostedPosted 4 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
AZURE DATA ENGINEER,Data Engineer,Kovan technology solutions,Remote,"A. Should have experience implementing real time high throughput and low latency data.
Solutions using Azure Event hub, Azure Streaming and Azure Cosmos DB.",EmployerActive 1 day ago,2023-03-19,"₹70,00,000 - ₹80,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
Data Engineer,Data Engineer,Arting Digital,Remote,"Ensures data solutions include deliverables required to achieve high quality data.
5+ year experience in coding for data management, data warehousing, or other…",EmployerActive 25 days ago,2023-03-19,"₹3,00,000 - ₹15,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
Data Engineer (Airflow/Spark),Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",Exploratory data analysis for extracting business insights from large volume of data using data science toolkits and statistical packages.,PostedPosted 5 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
Data Engineer,Data Engineer,TransUnion,"Gachibowli, Hyderabad, Telangana+2 locations","Analyze data and identify data pattern to bring insight out of data.
We are looking for data analysts who will ensure we have the best data for client marketing…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
"Big Data Engineer- Hadoop , Pyspark",Data Engineer,Amex,"Gurgaon District, Haryana","Good experience in data programming and applications systems design and architecture is required.
Support the Compliance and Operations Risk big data delivery…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
Wobot.ai - Computer Vision Engineer,Data Engineer,Wobot.ai,Remote,"Work Actively as a part of the Computer Vision and Deep Learning Team to Train Computer Vision Models.
Work Closely with the Data Science Team for Appropriate…",EmployerActive 1 day ago,2023-03-19,"₹5,00,000 - ₹8,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
Data Engineer,Data Engineer,Episeio business solutions,"Bengaluru, Karnataka","Develop programs in Python as part of data extraction, data cleaning, transformation and processing.
Develop and maintain scalable data pipelines.",EmployerActive 3 days ago,2023-03-19,"Up to ₹20,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
Data Engineer,Data Engineer,Citta Solutions,Remote,"Hands-on data processing and data modeling experience in a big data environment.
Knowledge of algorithms and data structures.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
Data Engineering Chase,Data Engineer,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka","Understanding of data streaming and scalable data processing frameworks (Kafka, Spark Structured Streaming, Flink, Beam etc.).",PostedToday,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
(India-Bangalore) Data Engineer,Data Engineer,Wesco,"Bengaluru, Karnataka","This person will work independently or with a team of data engineers on cloud technology products, projects, and initiatives.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=60
Associate IOT Engineer,Data Engineer,Syook,"Remote in Bengaluru, Karnataka","Prior hands-on experience (1-3yrs) of working with IoT hardware and firmware (sensors, gateways, hardware interfaces, communication technologies, different data…",PostedPosted 2 days ago,2023-03-19,"₹4,00,000 - ₹8,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=60
